77308, 14340;
77299, 14359;
77291, 14377;
77283, 14398;
77276, 14420;
77270, 14451;
77266, 14469;
77263, 14500;
77261, 14519;
77260, 14532;
77260, 14555;
77261, 14583;
77263, 14602;
77266, 14627;
77270, 14655;
77275, 14675;
77281, 14689;
77288, 14698;
77295, 14708;
77303, 14705;
77311, 14723;
77319, 14735;
77328, 14730;
77336, 14731;
77345, 14742;
77354, 14750;
77364, 14753;
77374, 14743;
77384, 14745;
77394, 14751;
77404, 14750;
77414, 14748;
77424, 14744;
77434, 14749;
77444, 14750;
77454, 14745;
77464, 14730;
77473, 14731;
77482, 14723;
77491, 14727;
77500, 14724;
77509, 14718;
77518, 14716;
77527, 14705;
77535, 14703;
77543, 14676;
77550, 14662;
77556, 14663;
77562, 14658;
77568, 14635;
77573, 14615;
77577, 14605;
77581, 14606;
77585, 14580;
77588, 14565;
77590, 14542;
77591, 14529;
77591, 14525;
77591, 14514;
77591, 14506;
77590, 14502;
77589, 14488;
77587, 14471;
77585, 14467;
77582, 14448;
77578, 14431;
77574, 14429;
77570, 14404;
77564, 14408;
77559, 14389;
77553, 14399;
77547, 14390;
77541, 14381;
77534, 14369;
77527, 14374;
77520, 14374;
77513, 14374;
77506, 14373;
77499, 14388;
77492, 14374;
77485, 14377;
77478, 14372;
77471, 14377;
77464, 14388;
77457, 14391;
77451, 14388;
77444, 14396;
77438, 14389;
77431, 14396;
77426, 14400;
77420, 14410;
77414, 14410;
77408, 14407;
77402, 14409;
77396, 14435;
77391, 14442;
77387, 14451;
77383, 14461;
77380, 14478;
77377, 14497;
77375, 14519;
77374, 14512;
77373, 14528;
77373, 14534;
77373, 14540;
77373, 14543;
77373, 14563;
77374, 14584;
77376, 14592;
77379, 14595;
77382, 14598;
77385, 14619;
77389, 14622;
77393, 14612;
77397, 14614;
77401, 14612;
77405, 14625;
77409, 14640;
77414, 14640;
77419, 14648;
77424, 14643;
77429, 14644;
77434, 14637;
77439, 14649;
77443, 14641;
77448, 14640;
77453, 14650;
77459, 14651;
77465, 14643;
77470, 14631;
77476, 14633;
77481, 14633;
77486, 14628;
77491, 14615;
77495, 14615;
77499, 14608;
77503, 14596;
77506, 14597;
77509, 14589;
77512, 14590;
77515, 14584;
77518, 14585;
77521, 14571;
77523, 14556;
77524, 14546;
77525, 14532;
77525, 14521;
77525, 14515;
77524, 14511;
77523, 14500;
77522, 14490;
77520, 14493;
77518, 14489;
77656, 14484;
77445, 14486;
77230, 14494;
77011, 14518;
76790, 14553;
76568, 14594;
76345, 14639;
76122, 14692;
75900, 14741;
75679, 14801;
75460, 14875;
75243, 14954;
75029, 15030;
74819, 15127;
74615, 15223;
74416, 15331;
74224, 15438;
74039, 15564;
73862, 15696;
73693, 15819;
73532, 15952;
73380, 16097;
73238, 16255;
73106, 16400;
72984, 16544;
72873, 16695;
72773, 16846;
72685, 17005;
72609, 17156;
72544, 17325;
72491, 17475;
72450, 17633;
72421, 17784;
